"Facility_hydroid","Facility","Use_Type","Locality","FIPS_code","dh_geofield"
66937,"Norfolk City of Utilities Four Suffolk Wells","municipal","Suffolk",51800,"POINT (-76.203639 36.873098)"
66939,"Highway Farm","irrigation","Northampton",51131,"POINT (-75.92412575465 37.385691982937)"
66943,"Bayshore Concrete Facility-Chesapeake","manufacturing","Chesapeake",51550,"POINT (-76.0224722 37.2589446)"
66944,"Perry Minnow Farm Incorporated","agriculture","Isle of Wight",51093,"POINT (-76.6899215 36.7942701)"
66948,"Rivers Edge","municipal","Prince George",51149,"POINT (-77.202777777778 37.275555555556)"
66949,"Heathsville Public Water System","municipal","Northumberland",51133,"POINT (-76.471413796187 37.916479908237)"
66950,"Circle Community Water System","municipal","King George",51099,"POINT (-77.1467336 38.2619627)"
66951,"Pooles Mobile Home Park","municipal","Surry",51181,"POINT (-76.7003411 37.1014378)"
66952,"Dennis Azaleas","agriculture","Accomack",51001,"POINT (-75.491522 37.9283972)"
66953,"Shelley Farm","irrigation","Accomack",51001,"POINT (-75.83856111 37.57510555)"
66955,"Town of Montross","municipal","Westmoreland",51193,"POINT (-76.828611111 38.0952777)"
66956,"Dianne Ridge","municipal","Hanover",51085,""
66957,"Rip Rap Road Ready Mix Plant Well 1 2 and 3","manufacturing","Hampton",51650,"POINT (-76.35298 37.0337488)"
66958,"Wyatt Farm","irrigation","Northampton",51131,"POINT (-75.952197222 37.23093055)"
66961,"Western Tidewater Water Authority","municipal","Suffolk",51800,"POINT (-76.5895422 36.7300287)"
66963,"Alpha Water Company -Glendale Acres","commercial","Charles City",51036,""
66965,"JCSA -Wexford Hills Subdivision","municipal","James City",51095,"POINT (-76.6836627 37.2446628)"
66966,"J H Miles and Company, Inc.","manufacturing","Norfolk",51710,"POINT (-76.30963888 36.85813888)"
66967,"Seybolt Farm","agriculture","Accomack",51001,"POINT (-75.4669959 37.9551562)"
66968,"Drummond Farm","agriculture","Accomack",51001,"POINT (-75.579855555556 37.872138888)"
66969,"Burton Farm","agriculture","Accomack",51001,"POINT (-75.680833333333 37.695280555556)"
66971,"Golden Cat Division of Ralston Purina","manufacturing","King William",51101,"POINT (-77.12138888 37.7172222)"
66972,"JCSA - Central System","municipal","James City",51095,"POINT (-76.6836627 37.2446628)"
66973,"Acquinton Elementary School and Hmltn Holmes School","municipal","King William",51101,"POINT (-77.125 37.75)"
66974,"Surry County Educational Complex","municipal","Surry",51181,"POINT (-76.9029444 37.08016666)"
66975,"JCSA -Upper County Park W 35","municipal","James City",51095,"POINT (-76.6836627 37.2446628)"
66976,"Clydes Dale Mobile Home Park","municipal","Isle of Wight",51093,"POINT (-76.755058 36.846727)"
66977,"Recycled Properties Mulch Yard","commercial","Chesapeake",51550,"POINT (-76.288785 36.746029)"
66979,"Shared Hospital Services","commercial","Portsmouth",51740,"POINT (-76.3773845 36.8026934)"
66981,"YMCA Family Campground","commercial","Northampton",51131,"POINT (-76.293934 36.8530114)"
66982,"Mount Vernon Estate","municipal","Fairfax County",51059,"POINT (-77.086327765259 38.707917231403)"
66983,"Smith Farm","agriculture","Accomack",51001,""
66985,"Skiffes Creek Plant","manufacturing","Newport News",51700,"POINT (-76.5781568 37.1924242)"
66987,"Milford Sanitary District Water System","municipal","Caroline",51033,"POINT (-77.343367066443 38.022432151572)"
66988,"Smithfield Town of","municipal","Isle of Wight",51093,"POINT (-76.615 36.986666666667)"
66989,"Wessells/ Watkinson Farm","irrigation","Accomack",51001,"POINT (-75.679027777778 37.74816666666)"
66990,"Scott Farm","agriculture","Northampton",51131,""
66991,"Smithfield Hog Production Farm 15","agriculture","Sussex",51183,"POINT (-77.0867222 36.9001666)"
66992,"Colonial Beach, Town of","municipal","Westmoreland",51193,"POINT (-76.987222222222 38.271388888889)"
66993,"Five Lakes Subdivision","municipal","New Kent",51127,""
66994,"Townfield","agriculture","Northampton",51131,""
66995,"Davis Farm","agriculture","Southampton",51175,""
66996,"Smithfield Hog Production Farms 9,10 & 21","agriculture","Surry",51181,"POINT (-77.033194444444 37.112861111111)"
66997,"American Waste Industries Inc Incendere","manufacturing","Norfolk",51710,""
66998,"Reedville Public Water System","municipal","Northumberland",51133,"POINT (-76.274405 37.844494)"
66999,"Maple Hills Water System","municipal","Suffolk",51800,""
67000,"Burnside Farms Mayfield Ellerson","municipal","Hanover",51085,"POINT (-77.396111111111 37.627777777778)"
67001,"INGENCO Charles City Peaking Facility","commercial","Charles City",51036,"POINT (-77.128689 37.43902)"
67002,"Virginia Landing Campground","municipal","Accomack",51001,"POINT (-75.7376246 37.5479476)"
67003,"Marshall-Johnson-Grapeland Complex","irrigation","Northampton",51131,"POINT (-75.886472222222 37.538352777778)"
67004,"White Sands Harbor","municipal","Northumberland",51133,"POINT (-76.8274644 38.0951317)"
67005,"Deer Lake Estates","municipal","James City",51095,"POINT (-76.7911767 37.3352488)"
67008,"Pine Heights","commercial","Henrico",51087,"POINT (0.1 0)"
67009,"Dreamland Acres","municipal","Accomack",51001,"POINT (-75.6560989 37.732282)"
67010,"West Point Veneer Mill Water Supply","manufacturing","King William",51101,"POINT (-76.807965 37.544744)"
67011,"Claremont Town of Water System","municipal","Surry",51181,"POINT (-76.951388888889 37.2225)"
67012,"AEC Virginia","manufacturing","Southampton",51175,"POINT (-77.2023277 36.5857981)"
67015,"Williamsburg City of -number 1","municipal","York",51199,"POINT (-76.7093882 37.2758523)"
67016,"Tyson Farms Inc - Temperanceville","manufacturing","Accomack",51001,"POINT (-75.557 37.882388)"
67017,"Thomas Jefferson National Accelerator Facility","commercial","Newport News",51700,"POINT (-76.489542 37.099448)"
67018,"Colonial Downs Public Water System","municipal","New Kent",51127,"POINT (-77.025 37.47083333)"
67019,"Accawmacke Ornamentals","agriculture","Accomack",51001,"POINT (-75.687091666667 37.7155)"
67020,"Van Kesteren Farms Incorporated","irrigation","Accomack",51001,""
67021,"Kiptopeke State Park","municipal","Northampton",51131,"POINT (-75.9747921 37.1735949)"
67022,"Riverside Convalescent Center - Mathews","commercial","Mathews",51115,"POINT (-76.321844654176 37.428590950267)"
67023,"Farms of New Kent Water System","municipal","New Kent",51127,"POINT (-77.080850266667 37.504262752778)"
67024,"Town of Saluda","municipal","Middlesex",51119,"POINT (-76.608315 37.610705)"
67026,"Monroe Bay Estates and Trailer Park","municipal","Westmoreland",51193,"POINT (-76.972830430107 38.244499018561)"
67027,"Seaford Farm","irrigation","Northampton",51131,"POINT (-75.918889 37.357502)"
67028,"C and H Farms Incorporated","agriculture","Northampton",51131,""
67030,"Route 301 Water System","municipal","Prince George",51149,"POINT (-77.359745927778 37.144533411111)"
67031,"Vitesco Technologies USA, LLC","manufacturing","Newport News",51700,"POINT (-76.5097543 37.1302309)"
67032,"Capital Concrete Inc Stapleton Street Plant","manufacturing","Norfolk",51710,"POINT (-76.2419827 36.841061)"
67036,"Eubank Water System","municipal","Henrico",51087,""
67037,"Whitehouse Farms","municipal","New Kent",51127,"POINT (-77.057158152778 37.553528808056)"
67038,"Kellam (Eastville) Farm","irrigation","Northampton",51131,"POINT (-75.9609112 37.373369)"
67040,"Bennetts Harbor Water System","municipal","Suffolk",51800,""
67041,"Route 33 Corridor Water System","municipal","New Kent",51127,"POINT (-76.865 37.505)"
67042,"Williamsburg -number 1","commercial","James City",51095,"POINT (-76.7757297 37.312139)"
67044,"Virginia Supertree Nursery","agriculture","Southampton",51175,""
67045,"Newport News City of Waterworks Lee Hall","municipal","Newport News",51700,"POINT (-76.4305483 36.9787984)"
67046,"Bobtown Nursery","agriculture","Accomack",51001,"POINT (-75.8014 37.648891666667)"
67047,"Bobtown Farm","irrigation","Accomack",51001,"POINT (-75.786336111111 37.655872222222)"
67048,"Brewers Creek Subdivision","municipal","Isle of Wight",51093,"POINT (-76.5255 36.920777)"
67049,"Red Hill Mobile Home Park","commercial","Prince George",51149,""
67050,"Doughty-Drewer Complex","irrigation","Accomack",51001,"POINT (-75.826142728329 37.601639496641)"
67051,"Pohick Bay Park & Golf Course","commercial","Fairfax County",51059,"POINT (-77.1690969 38.6718283)"
67052,"WestRock CP LLC - West Point","manufacturing","King William",51101,"POINT (-76.799731 37.530042)"
67053,"Smithfield Hog Production Farm 12","agriculture","Sussex",51183,"POINT (-77.0330833 37.0035)"
67054,"Outten Farm","irrigation","Northampton",51131,"POINT (-75.5765901 37.8343231)"
67055,"Sinclair Manor","municipal","Hanover",51085,"POINT (-77.245434791667 37.61963920833)"
67058,"Oak Shades Mobile Home Park","municipal","Prince George",51149,"POINT (-77.2903833 37.1579789)"
67059,"Cabin Point & Glebe Harbor","municipal","Westmoreland",51193,"POINT (-76.685583686816 38.125430282542)"
67060,"Burgess Public Water Supply","municipal","Northumberland",51133,"POINT (-76.3588514 37.8639015)"
67061,"JCSA -Ware Creek Manor Number 1 and 2  W 36","municipal","James City",51095,"POINT (-76.74416666 37.41277777)"
67062,"Georgetown","municipal","Hanover",51085,"POINT (-77.3550214 37.6978655)"
67063,"Irvington","municipal","Lancaster",51103,"POINT (-76.4245004 37.663014)"
67066,"Glenwood Gardens","municipal","Henrico",51087,""
67069,"James River Country Club","commercial","Newport News",51700,"POINT (-76.504799 37.058954)"
67071,"VDOC -Saint Brides / Indian Creek Correctional Center","municipal","Chesapeake",51550,"POINT (-76.1836685 36.6115529)"
67072,"Derrings Mill Farm","agriculture","Surry",51181,""
67073,"Lottsburg Public Water System","municipal","Northumberland",51133,"POINT (-76.491128 37.969744)"
67074,"Southampton County of High School","municipal","Southampton",51175,""
67075,"Southeast 4 H Educational Center","commercial","Sussex",51183,"POINT (-77.013285 37.126453)"
67076,"Virginia Farm (aka Middleton Farm)","irrigation","Accomack",51001,"POINT (-75.68973333 37.679447222)"
67077,"Goshen Farm","agriculture","Accomack",51001,"POINT (-75.592508333333 37.826136111)"
67078,"Adams Ross","agriculture","Accomack",51001,""
67079,"Dendron Town of Community Water System","municipal","Surry",51181,"POINT (-76.935 37.045833333)"
67080,"Greendale Golf Course","commercial","Fairfax County",51059,"POINT (-77.1181797 38.7711095)"
67081,"Home Farm & Fitchett Farm","agriculture","Accomack",51001,"POINT (-75.7280041 37.650799)"
67082,"Dennis Road MLC","commercial","Accomack",51001,""
67083,"Chincoteague Town of","municipal","Accomack",51001,"POINT (-75.3784463 37.9331322)"
67084,"Onancock Town of","municipal","Accomack",51001,"POINT (-75.7487098 37.7131369)"
67085,"Woods Edge Dispatch Station Water System","municipal","New Kent",51127,"POINT (-77.0201475 37.5051624)"
67086,"Williamsburg Country Club","commercial","York",51199,"POINT (-76.6424049 37.2390578)"
67087,"Riverview Plantation","municipal","James City",51095,"POINT (-76.688222 37.3838874)"
67089,"Twin Cedar Farms","agriculture","Northampton",51131,""
67090,"Sherwood Forest System","municipal","Northumberland",51133,"POINT (-76.7185028 37.9956771)"
67091,"Sterling Farm","agriculture","Accomack",51001,"POINT (-75.6037468 37.7668121)"
67092,"Gwynnfield Subdivision","municipal","Essex",51057,"POINT (-76.8974417 37.9709599)"
67093,"Avondale Robin Ridge","municipal","Hanover",51085,"POINT (-77.361897222222 37.6547)"
67095,"Rural Point","municipal","Hanover",51085,"POINT (-77.339444 37.6658333)"
67096,"Alsco","manufacturing","Virginia Beach",51810,"POINT (-76.1766531 36.8884171)"
67098,"Machipongo Farm","irrigation","Northampton",51131,"POINT (-75.8803741 37.5416899)"
67100,"Walkerton Service Area","municipal","King and Queen",51097,"POINT (-77.023122070639 37.727622628157)"
67101,"Quinton Estates","municipal","New Kent",51127,""
67103,"Kinsale","municipal","Westmoreland",51193,"POINT (-76.5843089 38.023581)"
67104,"Beechwood Manor","municipal","Prince George",51149,"POINT (-77.20500277 37.29711111)"
67105,"Mallard Bay Public Water System","municipal","Northumberland",51133,"POINT (-76.4288319 37.8643014)"
67107,"Courthouse CWS","municipal","King George",51099,"POINT (-77.2040402 38.2761628)"
67108,"Lumber Hall Farm","irrigation","Northampton",51131,"POINT (-75.8229859 37.5318008)"
67109,"Bethel Church","agriculture","Accomack",51001,"POINT (-75.597555555 37.84938888)"
67112,"Town of Ivor","municipal","Southampton",51175,""
67114,"HP Beale and Sons Incorporated","manufacturing","Southampton",51175,""
67116,"Belote Farm","agriculture","Northampton",51131,"POINT (-75.979113888889 37.216855555556)"
67117,"Turner Tract","municipal","Southampton",51175,"POINT (-76.970522222222 36.657177777778)"
67118,"KMC Foods Incorporated","manufacturing","Northampton",51131,""
67121,"Wessells Farm","agriculture","Accomack",51001,"POINT (-75.55351666 37.794602777)"
67122,"Venter Heights Water System","municipal","King William",51101,"POINT (-77.147223 37.7615672)"
67123,"Mechanicsville Plant","commercial","Hanover",51085,""
67125,"CW Reeson Boxwood Nursery","agriculture","Surry",51181,"POINT (-76.9792637 37.1684768)"
67126,"Hickory Hill","agriculture","Accomack",51001,"POINT (-75.66397222 37.75352777)"
67127,"Potomac Supply LLC.","commercial","Westmoreland",51193,"POINT (-76.5952172 38.0223394)"
67128,"Kilby Shores","commercial","Suffolk",51800,""
67129,"Triangle Mobile Home Park","municipal","Accomack",51001,""
67130,"Northumberland County Schools","commercial","Northumberland",51133,"POINT (-76.4404214 37.9068393)"
67131,"Southampton Mobile Home Park","municipal","Southampton",51175,"POINT (-76.9338932 36.596039)"
67132,"Colonial Williamsburg","commercial","Williamsburg",51830,"POINT (-76.6975 37.2797222)"
67134,"Princess Anne Athletic Complex","commercial","Virginia Beach",51810,"POINT (-76.09587 36.762151)"
67135,"Mutton Hunk Fen Natural Area Preserve","agriculture","Accomack",51001,"POINT (-75.5741666666 37.7705277777)"
67137,"Kempsville Greens Golf Course","commercial","Virginia Beach",51810,"POINT (-76.139455555556 36.8233555)"
67138,"Caroline Correction Unit #2","municipal","Caroline",51033,"POINT (-77.3322403 37.8328787)"
